Compartment,MP_form,Size_Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sea_spray_aerosol,k_sediment_resuspension,k_burial,k_runoff_transport,k_tillage,k_percolation,k_soil_air_resuspension,k_sequestration_deep_soils,k_wind_trasport,k_dry_depossition,k_wet_depossition
Ocean_Surface_Water,heterBiofMP,mp4,8.022536812036404e-11,"[0.0, 0.0, 8.085996958399845e-10, 0.0, 0.0]",0.0,2.0741205434346587e-08,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Surface_Water,heterBiofMP,mp5,8.022536812036404e-11,"[0.0, 0.0, 0.0, 7.943302891935662e-09, 0.0]",0.0,0.0010111679807968635,0.0,0.0,8.546511627906976e-09,0.0,0.0,0.138,2.36e-25,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp1,1.6045073624072808e-09,"[0, 0, 0, 0, 0]",8.215402511494373e-07,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.65603236378534e-11,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp2,1.6045073624072808e-09,"[1.5854895991882296e-10, 0.0, 0.0, 0.0, 0.0]",5.449874081195323e-06,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.65603236378534e-09,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp3,1.6045073624072808e-09,"[0.0, 1.5854895991882293e-09, 0.0, 0.0, 0.0]",0.007275258769968239,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.6560323637853397e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp4,1.6045073624072808e-09,"[0.0, 0.0, 1.5854895991882293e-08, 0.0, 0.0]",56.54879301933238,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.6560323637853396e-05,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,freeMP,mp5,1.6045073624072808e-09,"[0.0, 0.0, 0.0, 1.5854895991882292e-07, 0.0]",550106.7738392972,0.0,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,0.00365603236378534,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp1,1.6045073624072808e-10,"[0, 0, 0, 0, 0]",0.0,8.319049301156804e-16,3.858024691358025e-07,0.0,4.273255813953488e-09,1.0495193748470941e-09,0.0,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp2,1.6045073624072808e-10,"[1.586017919653587e-12, 0.0, 0.0, 0.0, 0.0]",0.0,5.428120052900945e-15,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.518972576078517e-09,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
Ocean_Mixed_Water,heterMP,mp3,1.6045073624072808e-10,"[0.0, 1.5854901276845875e-11, 0.0, 0.0, 0.0]",0.0,7.275054313886768e-12,3.858024691358025e-07,0.0,4.273255813953488e-09,0.0,3.6558952579663883e-07,"[0.000138, 3.167e-10]",0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0
